"地域別等","漁船総隻数","無動力漁船隻数","船外機付漁船隻数","動力漁船隻数_計","動力漁船隻数_１トン未満","動力漁船隻数_１～３","動力漁船隻数_３～５","動力漁船隻数_５～10","動力漁船隻数_10～20","動力漁船隻数_20～30","動力漁船隻数_30～50","動力漁船隻数_50～100","動力漁船隻数_100～150","動力漁船隻数_150～200","動力漁船隻数_200～350","動力漁船隻数_350～500","動力漁船隻数_500～1,000","動力漁船隻数_1,000～3,000","動力漁船隻数_3,000トン以上"
"和歌山県（瀬戸内海区）_有田市_逢井","18.0"," -","12.0","6.0"," -"," -","1.0","5.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_有田市_千田","31.0"," -","15.0","16.0","2.0","3.0","3.0","8.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_湯浅町","85.0","2.0","8.0","75.0","1.0","1.0","27.0","40.0","6.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_湯浅町_田村","22.0","1.0","7.0","14.0"," -"," -","3.0","10.0","1.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_湯浅町_栖原","25.0"," -","1.0","24.0","1.0"," -","3.0","18.0","2.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_湯浅町_湯浅中央","38.0","1.0"," -","37.0"," -","1.0","21.0","12.0","3.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_広川町","53.0"," -","7.0","46.0","2.0","10.0","18.0","15.0","1.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_広川町_唐尾","53.0"," -","7.0","46.0","2.0","10.0","18.0","15.0","1.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_日高町","126.0"," -","42.0","84.0","6.0","41.0","21.0","7.0","7.0"," -","2.0"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_日高町_比井崎","126.0"," -","42.0","84.0","6.0","41.0","21.0","7.0","7.0"," -","2.0"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_由良町","151.0"," -","34.0","117.0","12.0","28.0","50.0","24.0","3.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_由良町_衣奈浦","47.0"," -","15.0","32.0","1.0","7.0","15.0","8.0","1.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_由良町_小引浦","21.0"," -","1.0","20.0"," -","5.0","10.0","5.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_由良町_大引","45.0"," -","11.0","34.0","4.0","10.0","14.0","6.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_由良町_神谷","23.0"," -","3.0","20.0","6.0","2.0","6.0","4.0","2.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（瀬戸内海区）_由良町_由良浦","15.0"," -","4.0","11.0","1.0","4.0","5.0","1.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）","1841.0","32.0","503.0","1306.0","151.0","349.0","356.0","379.0","70.0"," -","1.0"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_御坊市","146.0"," -","41.0","105.0","10.0","36.0","27.0","22.0","10.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_御坊市","146.0"," -","41.0","105.0","10.0","36.0","27.0","22.0","10.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_田辺市","279.0","10.0","80.0","189.0","14.0","41.0","78.0","38.0","18.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_田辺市_田辺","144.0"," -","30.0","114.0","2.0","12.0","56.0","27.0","17.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_田辺市_湊浦","42.0","8.0","1.0","33.0","2.0","10.0","11.0","10.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_田辺市_新庄","93.0","2.0","49.0","42.0","10.0","19.0","11.0","1.0","1.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_新宮市","51.0","4.0","10.0","37.0","1.0","22.0","8.0","5.0","1.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_新宮市_三輪崎","39.0","4.0","9.0","26.0","1.0","16.0","6.0","2.0","1.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_新宮市_新宮","12.0"," -","1.0","11.0"," -","6.0","2.0","3.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_美浜町","77.0","9.0","9.0","59.0","3.0","23.0","20.0","13.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_美浜町_三尾","32.0","1.0","4.0","27.0","3.0","11.0","7.0","6.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_美浜町_美浜町","45.0","8.0","5.0","32.0"," -","12.0","13.0","7.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_印南町","68.0","1.0","33.0","34.0"," -","5.0","7.0","22.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_印南町","68.0","1.0","33.0","34.0"," -","5.0","7.0","22.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_みなべ町","132.0","3.0","15.0","114.0","12.0","3.0","42.0","40.0","17.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_みなべ町_南部町","132.0","3.0","15.0","114.0","12.0","3.0","42.0","40.0","17.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_白浜町","133.0","1.0","29.0","103.0","18.0","18.0","32.0","32.0","3.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_白浜町_堅田"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"
"和歌山県（太平洋南区）_白浜町_白浜","68.0","1.0","26.0","41.0","4.0","11.0","9.0","15.0","2.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
